stationId,stationLon,stationLat,capacity,charge_speed_station
303_ac,121.496127,30.963347,20.0,3.5
304_ac,121.450459,30.963654,2.0,7.0
305_ac,121.496383,30.964237,16.0,3.5
306_ac,121.498679,30.965258,3.0,7.0
309_ac,121.513163,30.966314,6.0,7.0
311_ac,121.817951,30.969367,1.0,7.0
312_ac,121.450531,30.970802,12.0,3.5
313_ac,121.507633,30.970897,10.0,3.5
315_ac,121.448514,30.972611,27.0,7.0
316_ac,121.402171,30.972914,2.0,7.0
317_ac,121.445278,30.974954,6.0,3.5
318_ac,121.522821,30.975019,1.0,7.0
321_ac,121.856018,30.979336,1.0,3.5
322_ac,121.454902,30.980036,1.0,7.0
323_ac,121.446586,30.980397,3.0,7.0
324_ac,121.1805,30.980527,1.0,7.0
325_ac,121.501942,30.981699,12.0,3.5
327_ac,121.503148,30.983344,12.0,3.5
328_ac,121.777375,30.983895,1.0,7.0
329_ac,121.255636,30.985077,12.0,3.5
330_ac,121.245689,30.986628,12.0,3.5
332_ac,121.245802,30.987447,12.0,3.5
333_ac,121.292403,30.987528,10.0,7.0
335_ac,121.877706,30.988099,2.0,7.0
336_ac,121.265383,30.990365,22.0,3.5
337_ac,121.435674,30.991043,17.0,7.0
338_ac,121.208439,30.992156,18.0,3.5
339_ac,121.267573,30.992283,12.0,3.5
340_ac,121.443609,30.992347,1.0,7.0
341_ac,121.444066,30.993013,1.0,7.0
342_ac,121.232625,30.993862,24.0,6.125
345_ac,121.271531,30.994842,12.0,3.5
346_ac,121.272974,30.994861,12.0,3.5
347_ac,121.299371,30.995534,2.0,7.0
349_ac,121.439872,30.996694,10.0,7.0
351_ac,121.0,31.0,56.0,7.0
354_ac,121.440669,31.00077,4.0,7.0
355_ac,121.18669,31.000813,12.0,3.5
356_ac,121.24932,31.000815,4.0,3.5
357_ac,121.244179,31.001647,12.0,3.5
358_ac,121.401438,31.001699,6.0,3.5
362_ac,121.425591,31.002078,12.0,3.5
363_ac,121.237238,31.002102,12.0,3.5
364_ac,121.237913,31.002355,12.0,3.5
365_ac,121.426532,31.002419,20.0,7.0
366_ac,121.239176,31.002471,12.0,3.5
368_ac,121.427152,31.002566,8.0,3.5
369_ac,121.244551,31.0032,6.0,3.5
370_ac,121.241928,31.003687,12.0,3.5
371_ac,121.224988,31.003743,8.0,3.5
373_ac,121.390197,31.004422,10.0,7.0
374_ac,121.227382,31.004467,12.0,3.5
375_ac,121.389484,31.004725,3.0,7.0
376_ac,121.219227,31.00499,8.0,3.5
377_ac,121.365182,31.005539,17.0,7.0
378_ac,121.252182,31.005613,7.0,6.0
379_ac,121.265639,31.00577,6.0,3.5
380_ac,121.42072,31.005946,12.0,3.5
381_ac,121.208921,31.006167,3.0,7.0
383_ac,121.420044,31.00695,12.0,3.5
384_ac,121.174933,31.007964,10.0,7.0
385_ac,121.426383,31.008073,13.0,7.0
386_ac,121.418654,31.008101,6.0,3.5
387_ac,121.224433,31.008447,12.0,3.5
388_ac,121.143667,31.008853,12.0,3.5
391_ac,121.422942,31.00928,5.0,5.6
394_ac,121.226129,31.009481,17.0,7.0
395_ac,121.225771,31.009495,12.0,3.5
396_ac,121.193035,31.009611,8.0,3.5
397_ac,121.188865,31.00967,8.0,3.5
398_ac,121.2018,31.009904,9.0,7.0
399_ac,121.184139,31.009986,6.0,3.5
401_ac,121.280041,31.010238,3.0,7.0
402_ac,121.215665,31.011163,8.0,3.5
403_ac,121.314325,31.011187,8.0,7.0
404_ac,121.369277,31.011358,2.0,7.0
405_ac,121.434796,31.012112,15.0,4.666666666666667
406_ac,121.411315,31.012114,6.0,3.5
407_ac,121.240169,31.012183,9.0,7.0
409_ac,121.25131,31.012685,24.0,7.0
410_ac,121.25131,31.012685,24.0,7.0
411_ac,121.405909,31.012762,12.0,7.0
412_ac,121.432213,31.013326,9.0,7.0
413_ac,121.394569,31.013577,12.0,3.5
414_ac,121.23029,31.013614,6.0,3.5
415_ac,121.39739,31.014366,12.0,3.5
416_ac,121.150238,31.014437,132.0,7.0
420_ac,121.201653,31.016427,30.0,7.0
421_ac,121.148008,31.017214,12.0,3.5
423_ac,121.220527,31.017301,1.0,7.0
425_ac,121.222041,31.01743,11.0,7.0
427_ac,121.153548,31.017967,2.0,7.0
429_ac,121.729465,31.018385,12.0,3.5
430_ac,121.200303,31.018915,12.0,3.5
431_ac,121.541155,31.019288,11.0,7.0
432_ac,121.23632,31.019336,4.0,7.0
434_ac,121.145585,31.019662,4.0,7.0
435_ac,121.173873,31.020037,12.0,3.5
436_ac,121.254912,31.020381,3.0,4.666666666666667
437_ac,121.3743,31.020555,24.0,3.5
438_ac,121.703647,31.02056,12.0,3.5
439_ac,121.638308,31.021008,12.0,3.5
441_ac,121.454877,31.021508,28.0,7.0
442_ac,121.703741,31.021535,12.0,3.5
443_ac,121.316831,31.021601,6.0,7.0
444_ac,121.452555,31.021716,87.0,7.0
445_ac,121.171447,31.021814,6.0,7.0
446_ac,121.704301,31.021907,6.0,7.0
447_ac,121.173054,31.021935,12.0,3.5
449_ac,121.699671,31.021948,12.0,3.5
450_ac,121.408676,31.021958,1.0,7.0
451_ac,121.699692,31.022026,12.0,3.5
452_ac,121.700644,31.022084,12.0,3.5
453_ac,121.702343,31.022157,12.0,3.5
454_ac,121.702531,31.022171,12.0,3.5
456_ac,121.700802,31.022587,12.0,3.5
457_ac,121.21997,31.022758,12.0,3.5
458_ac,121.704287,31.02296,8.0,4.375
459_ac,121.703722,31.023034,12.0,3.5
461_ac,121.38123,31.023902,14.0,3.5
462_ac,121.523636,31.024116,12.0,3.5
464_ac,121.437281,31.02417,3.0,7.0
465_ac,121.511241,31.024206,30.0,3.5
466_ac,121.261381,31.024415,3.0,3.5
468_ac,121.703704,31.024651,12.0,3.5
469_ac,121.224628,31.024665,1.0,7.0
470_ac,121.51004,31.024677,6.0,3.5
472_ac,121.548347,31.0253,3.0,7.0
474_ac,121.729132,31.025381,3.0,7.0
475_ac,121.739371,31.025559,10.0,5.6
476_ac,121.76344,31.025901,20.0,3.5
477_ac,121.70415,31.026113,12.0,3.5
478_ac,121.652316,31.026325,12.0,7.0
479_ac,121.422318,31.026331,5.0,4.2
480_ac,121.432697,31.026538,12.0,7.0
482_ac,121.38494,31.026595,1.0,7.0
483_ac,121.418032,31.026601,3.0,7.0
484_ac,121.73665,31.027044,12.0,3.5
485_ac,121.445407,31.027165,26.0,7.0
487_ac,121.47493,31.027824,1.0,7.0
488_ac,121.649654,31.027841,2.0,7.0
489_ac,121.470114,31.028118,6.0,7.0
490_ac,121.42295,31.028397,12.0,3.5
491_ac,121.436378,31.028485,9.0,7.0
492_ac,121.643934,31.0286,12.0,3.5
494_ac,121.449352,31.028945,19.0,7.0
495_ac,121.528324,31.029007,16.0,3.5
497_ac,121.420091,31.02917,10.0,3.5
498_ac,121.433295,31.029239,22.0,7.0
499_ac,121.502833,31.02934,6.0,3.5
501_ac,121.434373,31.029825,13.0,7.0
502_ac,121.436294,31.029866,19.0,7.0
503_ac,121.20067,31.029903,11.0,7.0
504_ac,121.304254,31.030076,12.0,3.5
505_ac,121.512975,31.030099,1.0,7.0
508_ac,121.445242,31.030409,16.0,7.0
509_ac,121.435775,31.030437,8.0,7.0
511_ac,121.447498,31.030803,28.0,7.0
512_ac,121.392268,31.030829,6.0,7.0
515_ac,121.431694,31.030914,17.0,7.0
516_ac,121.435048,31.031346,8.0,3.5
517_ac,121.472224,31.031811,3.0,7.0
518_ac,121.519175,31.031971,153.0,7.0
519_ac,121.443285,31.031984,13.0,7.0
